index,sensor_id,latitude,longitude
94,400687,37.408833,-122.000989
95,400688,37.259412,-121.966974
96,400690,37.255184,-121.876817
97,400700,37.251345,-121.934089
98,400709,37.341275,-121.927699
99,400713,37.251585,-121.934046
100,400714,37.316788,-121.953512
101,400715,37.256205,-121.955355
102,400717,37.250424,-121.912467
103,400723,37.334296,-121.936706
104,400743,37.398989,-122.028373
105,400750,37.250746,-121.907763
106,400760,37.374628,-121.931055
107,400772,37.250448,-121.928226
108,400790,37.391922,-121.998077
109,400792,37.255491,-121.955543
110,400794,37.390422,-121.993716
111,400799,37.327927,-121.876137
112,400804,37.336089,-121.848437
113,400822,37.255715,-121.955375
114,400823,37.334249,-122.030111
115,400828,37.298804,-122.030071
116,400832,37.254601,-121.956775
117,400837,37.303359,-121.878066
118,400842,37.261849,-121.859205
119,400863,37.371809,-121.91655
120,400869,37.403673,-122.069953
121,400873,37.420927,-121.93674
122,400895,37.380958,-121.960741
123,400904,37.395067,-122.010518
124,400907,37.257815,-121.96237
125,400911,37.372674,-121.922087
126,400916,37.320404,-121.89031
127,400922,37.363644,-121.899535
128,400934,37.254002,-121.949365
129,400951,37.325151,-121.940679
130,400952,37.279234,-122.01035
131,400953,37.327241,-121.88076
132,400964,37.376685,-121.94075
133,400965,37.363311,-121.893592
134,400970,37.409675,-121.996301
135,400971,37.368669,-121.901336
136,400973,37.417735,-121.972451
137,400995,37.313375,-121.886106
138,400996,37.350928,-121.862378
139,401014,37.420505,-121.9392
140,401129,37.266722,-121.859225
141,401154,37.266658,-121.85921
142,401163,37.316756,-121.923186
143,401167,37.316984,-121.923208
144,401210,37.291198,-122.023391
145,401224,37.291054,-122.023638
146,401327,37.315095,-121.914498
147,401351,37.401701,-122.032879
148,401388,37.316628,-121.952438
149,401391,37.337881,-121.85467
150,401400,37.316841,-121.952427
151,401403,37.338232,-121.854583
152,401440,37.356826,-121.908804
153,401457,37.279515,-121.864784
154,401464,37.424833,-121.916049
155,401489,37.427486,-121.916962
156,401495,37.255346,-121.85898
157,401507,37.412677,-122.079539
158,401534,37.407511,-122.065278
159,401541,37.370203,-121.901514
160,401555,37.255657,-121.858984
161,401560,37.357526,-121.907884
162,401567,37.279628,-121.864838
163,401597,37.2874,-121.869623
164,401606,37.287298,-121.869548
165,401611,37.318919,-121.940307
166,401655,37.335596,-121.858919
167,401808,37.334883,-121.860066
168,401809,37.334524,-121.860098
169,401810,37.32592,-121.883989
170,401811,37.325651,-121.883953
171,401816,37.37116,-121.926885
172,401817,37.371274,-121.926917
173,401845,37.332668,-122.060628
174,401846,37.332482,-122.060617
175,401890,37.343447,-121.855539
176,401891,37.343293,-121.855795
177,401906,37.335259,-121.848031
178,401908,37.335284,-121.847662
179,401926,37.411999,-122.078452
180,401936,37.407282,-122.06515
181,401937,37.411338,-122.076826
182,401942,37.322594,-121.897858
183,401943,37.322361,-121.8978
184,401948,37.409514,-122.071728
185,401957,37.270311,-121.861079
186,401958,37.270209,-121.860998
187,401994,37.385523,-121.975872
188,401996,37.396411,-122.015716
189,401997,37.398597,-122.025693
190,401998,37.404178,-122.05107
191,402056,37.328954,-121.895643
192,402057,37.336401,-121.897563
193,402058,37.337137,-121.897741
194,402059,37.337479,-121.897848
195,402060,37.356655,-122.062397
196,402061,37.356616,-122.06262
197,402067,37.321367,-121.899571
198,402117,37.344302,-121.902123
199,402118,37.344411,-121.902181
200,402119,37.421182,-121.915036
201,402120,37.399227,-121.908515
202,402121,37.380274,-121.904061
203,402281,37.38449,-121.904845
204,402282,37.384485,-121.905044
205,402283,37.391595,-121.906506
206,402284,37.391557,-121.90671
207,402285,37.398698,-121.908172
208,402286,37.405824,-121.909842
209,402287,37.405777,-121.910072
210,402288,37.419153,-121.914103
211,402289,37.419106,-121.914308
212,402359,37.329728,-121.842102
213,402360,37.329591,-121.842361
214,402361,37.336549,-121.848881
215,402362,37.358996,-121.871981
216,402363,37.3588,-121.872094
217,402364,37.368104,-121.90788
218,402365,37.367859,-121.907971
219,402366,37.388542,-121.986478
220,402367,37.388372,-121.986538
221,402368,37.393954,-122.005269
222,402369,37.393755,-122.005329
223,402370,37.39592,-122.013438
224,402371,37.396611,-122.017518
225,402372,37.40547,-122.055924
226,402373,37.405335,-122.056343
227,403225,37.349517,-121.91728
228,403265,37.349229,-121.917686
229,403329,37.270267,-121.947353
230,403401,37.328484,-121.870843
231,403402,37.32872,-121.870796
232,403404,37.327807,-121.874899
233,403406,37.32592,-121.883314
234,403409,37.324015,-121.890673
235,403412,37.32243,-121.89764
236,403414,37.314844,-121.913648
237,403419,37.316766,-121.921548
238,404370,37.296028,-121.939132
239,404434,37.265521,-121.98154
240,404435,37.326592,-122.050852
241,404444,37.265311,-121.981694
242,404451,37.27263,-121.862544
243,404452,37.284773,-121.867709
244,404453,37.309111,-121.882596
245,404461,37.309012,-121.882518
246,404462,37.272658,-121.862556
247,404521,37.382586,-121.965617
248,404522,37.402071,-122.041627
249,404553,37.395734,-122.013489
250,404554,37.401893,-122.041683
251,404585,37.406298,-122.011605
252,404586,37.406475,-122.011621
253,404640,37.333614,-122.049627
254,404753,37.364689,-121.902989
255,404759,37.365167,-121.901551
256,405613,37.262704,-121.858533
257,405619,37.284665,-121.867631
258,405701,37.316969,-121.924481
259,407150,37.427274,-121.884436
260,407151,37.420741,-121.882093
261,407152,37.416073,-121.880751
262,407153,37.398059,-121.875211
263,407155,37.391513,-121.870376
264,407157,37.385475,-121.863839
265,407161,37.40777,-121.878234
266,407165,37.344023,-121.845368
267,407172,37.341738,-121.848369
268,407173,37.342007,-121.847982
269,407174,37.40088,-121.876103
270,407176,37.358523,-121.840267
271,407177,37.360223,-121.841285
272,407179,37.368611,-121.846609
273,407180,37.372785,-121.850839
274,407181,37.379684,-121.857783
275,407184,37.427403,-121.884848
276,407185,37.420881,-121.882423
277,407186,37.391614,-121.870798
278,407187,37.383139,-121.861675
279,407190,37.412704,-121.880023
280,407191,37.407919,-121.878542
281,407194,37.344191,-121.845564
282,407200,37.398207,-121.875543
283,407202,37.360613,-121.841794
284,407204,37.366097,-121.845103
285,407206,37.372897,-121.851246
286,407207,37.379794,-121.858188
287,407321,37.333648,-122.056851
288,407323,37.396419,-122.068661
289,407325,37.383707,-122.068108
290,407328,37.377217,-122.067542
291,407331,37.335431,-122.058337
292,407332,37.407311,-122.069566
293,407335,37.373213,-122.067368
294,407336,37.363146,-122.062707
295,407337,37.353092,-122.0609
296,407339,37.351571,-122.060285
297,407341,37.344713,-122.059766
298,407342,37.379094,-122.067604
299,407344,37.331501,-122.054687
300,407348,37.384273,-122.068412
301,407352,37.377057,-122.067805
302,407359,37.407147,-122.070055
303,407360,37.373187,-122.067646
304,407361,37.363107,-122.063006
305,407364,37.351529,-122.060518
306,407367,37.379368,-122.067871
307,407370,37.333574,-122.057007
308,407372,37.344708,-122.059991
309,407373,37.337629,-122.059717
310,407374,37.395123,-122.068612
311,407710,37.317459,-121.938793
312,407711,37.317112,-121.941507
313,408907,37.321822,-121.940425
314,408911,37.325153,-121.940859
315,409524,37.348448,-121.907247
316,409525,37.362566,-121.917493
317,409526,37.366737,-121.921627
318,409528,37.362467,-121.917418
319,409529,37.366662,-121.921519
320,413026,37.421232,-121.914808
321,413845,37.422887,-121.925747
322,413877,37.321613,-121.899642
323,413878,37.324641,-121.888603
324,414284,37.323066,-121.896538
325,414694,37.315051,-121.913497
